Mod,PP,Address,Name,Access,Description,Type,width,rdata,wdata,shadow,resetVal,reset,triggerCnt,latch,connect_to_port,implemented,ifdef,comment
,,,,,,,,,,,,,,,,,,
Shire Other,,,,,,,,,,,,,,,,,,
shire_other,3,0x000,minion_feature,RW,Minion feature ESR,esr_minion_features_t,,,,,`ESR_MINION_FEATURE_RESET_VAL,GLOBAL,,YES,YES,YES,,
shire_other,3,0x002,thread1_disable,RW,shire thread1 disable per minion,,`MIN_PER_N,,,,'1,GLOBAL,,YES,NO,YES,,
shire_other,0,0x010,ipi_redirect_trigger,RW,IPI thread trigger,MANUAL,,'0,,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,3,0x011,ipi_redirect_filter,RW,IPI thread filter,,16,,,,`ESR_FILTER_IPI_RESET_VAL,NON-DEBUG,,YES,NO,YES,,
shire_other,3,0x012,ipi_trigger,RW,IPI trigger,,16,,,,'0,NON-DEBUG,,NO,YES,YES,,
shire_other,3,0x013,ipi_trigger_clear,RW,IPI trigger clear,MANUAL,,'0,,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x018,fcc_credinc_0,RW,Fcc credit counter 0,MANUAL,64,'0,,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x019,fcc_credinc_1,RW,Fcc credit counter 1,MANUAL,64,'0,,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x01a,fcc_credinc_2,RW,Fcc credit counter 2,MANUAL,64,'0,,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x01b,fcc_credinc_3,RW,Fcc credit counter 3,MANUAL,64,'0,,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x020,fast_local_barrier0,RW,Fast local barrier 0,MANUAL,,fast_local_barrier[0],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x021,fast_local_barrier1,RW,Fast local barrier 1,MANUAL,,fast_local_barrier[1],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x022,fast_local_barrier2,RW,Fast local barrier 2,MANUAL,,fast_local_barrier[2],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x023,fast_local_barrier3,RW,Fast local barrier 3,MANUAL,,fast_local_barrier[3],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x024,fast_local_barrier4,RW,Fast local barrier 4,MANUAL,,fast_local_barrier[4],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x025,fast_local_barrier5,RW,Fast local barrier 5,MANUAL,,fast_local_barrier[5],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x026,fast_local_barrier6,RW,Fast local barrier 6,MANUAL,,fast_local_barrier[6],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x027,fast_local_barrier7,RW,Fast local barrier 7,MANUAL,,fast_local_barrier[7],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x028,fast_local_barrier8,RW,Fast local barrier 8,MANUAL,,fast_local_barrier[8],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x029,fast_local_barrier9,RW,Fast local barrier 9,MANUAL,,fast_local_barrier[9],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x02a,fast_local_barrier10,RW,Fast local barrier 10,MANUAL,,fast_local_barrier[10],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x02b,fast_local_barrier11,RW,Fast local barrier 11,MANUAL,,fast_local_barrier[11],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x02c,fast_local_barrier12,RW,Fast local barrier 12,MANUAL,,fast_local_barrier[12],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x02d,fast_local_barrier13,RW,Fast local barrier 13,MANUAL,,fast_local_barrier[13],,,'0,NON-DEBUG,,NO,NO,YES,,
shire_other,0,0x02e,fast_local_barrier14,RW,Fast local barrier 14,MANUAL,,fast_local_barrier[14],,,'0,NON-DEBUG,,NO,NO,YES,,
