Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0xCCF,portheadnb3,user,RO,user level headnb nonblocking port for msg port3,NO,MANUAL,,msg_port_rdata,,,,,,NON-DEBUG,,,YES,,,
Cache Ops,,,,,,,,,,,,,,,,,,,,
0x89F,co_evict_va,user,RW,user level evict VA cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,esr_features.trap_on_u_cacheops,
0x8BF,co_flush_va,user,RW,user level flush VA cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,esr_features.trap_on_u_cacheops,
0x8DF,co_lock_va,user,RW,user level lock VA cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,esr_features.trap_on_u_cacheops,
0x8FF,co_unlock_va,user,RW,user level unlock VA cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,esr_features.trap_on_u_cacheops,
0x81F,co_prefetch_va,user,RW,user level prefetch cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,esr_features.trap_on_u_cacheops,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Supervisor-level CSRs,,,,,,,,,,,,,,,,,,,,
Supervisor Trap Setup,,,,,,,,,,,,,,,,,,,,
0x100,sstatus,supervisor,RW,Supervisor status register,NO,csr_sstatus_t,,read_sstatus,,,mstatus,`MSTATUS_RESET_VAL,YES,NON-DEBUG,,,YES,,,
0x102,sedeleg,supervisor,RW-HWIRED,Supervisor exception delegation register,YES,,0,64'h0,,,,'0,,NON-DEBUG,,,NO,,,not implemented: no user-level exceptions... hardwired to zero
0x103,sideleg,supervisor,RW-HWIRED,Supervisor interrupt delegation register,YES,,0,64'h0,,,,'0,,NON-DEBUG,,,NO,,,not implemented: no user-level exceptions... hardwired to zero
0x104,sie,supervisor,RW,Supervisor interrupt-enable register,NO,csr_sie_t,,read_sie,,sie_wdata[wb_thread_id],mie,,,NON-DEBUG,,NO,YES,,,
0x105,stvec,supervisor,RW,Supervisor trap handler base address,NO,csr_tvec_t,,,YES,extend_VA(wb_wdata),,,,NON-DEBUG,,NO,YES,,,
0x106,scounteren,supervisor,RW,Supervisor counter enable,NO,,`CSR_NR_COUNTERS,,,,,'0,,NON-DEBUG,,YES,YES,,,
Supervisor Trap Handling,,,,,,,,,,,,,,,,,,,,
0x140,sscratch,supervisor,RW,Scratch register for supervisor trap handlers,NO,,,,,,,,,NON-DEBUG,,YES,YES,,,
0x141,sepc,supervisor,RW,Supervisor exception program counter,NO,csr_pc_t,,,YES,extend_VA(wb_wdata),,,YES,NON-DEBUG,,NO,YES,,,
0x142,scause,supervisor,RW,Supervisor trap cause,NO,csr_cause_t,,,,,,,YES,NON-DEBUG,,,YES,,,
0x143,stval,supervisor,RW,Supervisor bad address or instruction,NO,,`VA_SIZE_EXT,,YES,extend_VA(wb_wdata),,,YES,NON-DEBUG,,NO,YES,,,
0x144,sip,supervisor,RW,Supervisor interrupt pending,NO,csr_sip_t,,read_sip,,sip_wdata[wb_thread_id],mip,,YES,NON-DEBUG,,NO,YES,,,
Supervisor Protection and Translation,,,,,,,,,,,,,,,,,,,,
